Time/BA(s)	RefinedPose	ConstPose	IgnoredPose	RefinedPts	ConstPts	IgnoredPts	RefinedK	ConstK	IgnoredK	ResidualBlocks	SuccessIter	BadIter	InitRMSE	FinalRMSE	dAR=-1	dAR=0	dAR=1	dAR=2	dAR=3	dAR=4	dAR=5	dAR=6	dAR=7	dAR=8	dAR=9	dAR=10+	New Views	
0.547784	3	0	0	2125	0	0	1	0	0	9380	48	3	1.24745	0.827201	0	0	0	0	0	0	0	0	0	0	0	0	268847495	
0.483891	3	0	0	2041	0	0	1	0	0	8892	50	1	0.648051	0.605004	0	0	0	0	0	0	0	0	0	0	0	0	268847495	
0.536171	4	0	0	2170	0	0	1	0	0	9726	50	1	0.93338	0.829385	0	0	0	0	0	0	0	0	0	0	0	0	683079722	
0.552347	4	0	0	2107	0	0	1	0	0	9358	49	2	0.682059	0.658024	0	0	0	0	0	0	0	0	0	0	0	0	683079722	
0.695943	5	0	0	2781	0	0	1	0	0	12616	51	0	1.05431	0.90868	0	0	0	0	0	0	0	0	0	0	0	0	1664374466	
0.670991	5	0	0	2726	0	0	1	0	0	12190	49	2	0.790944	0.752729	0	0	0	0	0	0	0	0	0	0	0	0	1664374466	
0.786653	6	0	0	3103	0	0	1	0	0	13862	51	0	2.56587	1.74818	0	0	0	0	0	0	0	0	0	0	0	0	756063153	
0.68544	6	0	0	2747	0	0	1	0	0	12116	49	2	0.772909	0.718025	0	0	0	0	0	0	0	0	0	0	0	0	756063153	
0.740513	7	0	0	2921	0	0	1	0	0	12890	50	1	0.934167	0.787218	0	0	0	0	0	0	0	0	0	0	0	0	1911602604	
0.702898	7	0	0	2891	0	0	1	0	0	12720	49	2	0.708085	0.695831	0	0	0	0	0	0	0	0	0	0	0	0	1911602604	
0.994589	8	0	0	3960	0	0	1	0	0	17182	51	0	0.969973	0.645627	0	0	0	0	0	0	0	0	0	0	0	0	1119887588	
1.07233	9	0	0	4192	0	0	1	0	0	18370	51	0	0.700611	0.641687	0	0	0	0	0	0	0	0	0	0	0	0	2046133546	
1.12898	10	0	0	4314	0	0	1	0	0	18972	50	1	0.803215	0.765042	0	0	0	0	0	0	0	0	0	0	0	0	456750183	
1.09097	10	0	0	4257	0	0	1	0	0	18720	48	3	0.647665	0.63849	0	0	0	0	0	0	0	0	0	0	0	0	456750183	
1.154	11	0	0	4413	0	0	1	0	0	19400	50	1	0.669317	0.643614	0	0	0	0	0	0	0	0	0	0	0	0	16635677	
1.35781	12	0	0	5237	0	0	1	0	0	22994	51	0	0.677852	0.623587	0	0	0	0	0	0	0	0	0	0	0	0	1223175561	
1.4038	13	0	0	5408	0	0	1	0	0	23686	50	1	0.622519	0.600187	0	0	0	0	0	0	0	0	0	0	0	0	736661850	
1.43898	14	0	0	5522	0	0	1	0	0	24182	51	0	0.676431	0.594371	0	0	0	0	0	0	0	0	0	0	0	0	106157740	
1.43371	15	0	0	5632	0	0	1	0	0	24704	49	2	0.615826	0.596757	0	0	0	0	0	0	0	0	0	0	0	0	148862797	
1.75809	16	0	0	6699	0	0	1	0	0	29170	51	0	0.614818	0.572643	0	0	0	0	0	0	0	0	0	0	0	0	19292366	
1.78608	17	0	0	6777	0	0	1	0	0	29586	50	1	0.620786	0.577416	0	0	0	0	0	0	0	0	0	0	0	0	1308641291	
1.97391	18	0	0	7007	0	0	1	0	0	30840	50	1	0.613778	0.584871	0	0	0	0	0	0	0	0	0	0	0	0	2080441786	
2.01505	19	0	0	7128	0	0	1	0	0	31360	49	2	0.586357	0.568684	0	0	0	0	0	0	0	0	0	0	0	0	1472528885	
2.12353	20	0	0	7513	0	0	1	0	0	32966	49	2	0.595395	0.578307	0	0	0	0	0	0	0	0	0	0	0	0	1163718206	
2.68847	21	0	0	8564	0	0	1	0	0	37526	51	0	0.601627	0.559727	0	0	0	0	0	0	0	0	0	0	0	0	595444731	
2.77898	21	0	0	8544	0	0	1	0	0	37404	49	2	0.5442	0.539455	0	0	0	0	0	0	0	0	0	0	0	0	595444731	
2.84887	22	0	0	9023	0	0	1	0	0	40104	51	0	0.709641	0.630336	0	0	0	0	0	0	0	0	0	0	0	0	1425359813	
0.246374	22	0	0	8935	0	0	1	0	0	39592	1	1	0.575972	0.575972	0	0	0	0	0	0	0	0	0	0	0	0	1425359813	
3.00524	23	0	0	9121	0	0	1	0	0	42182	51	0	0.734308	0.656798	0	0	0	0	0	0	0	0	0	0	0	0	1418904103	
3.09358	23	0	0	9011	0	0	1	0	0	41372	49	2	0.586855	0.569986	0	0	0	0	0	0	0	0	0	0	0	0	1418904103	
3.87034	24	0	0	11426	0	0	1	0	0	56068	51	0	0.851032	0.583861	0	0	0	0	0	0	0	0	0	0	0	0	1147732554	
3.88212	24	0	0	11404	0	0	1	0	0	55684	49	2	0.547941	0.529548	0	0	0	0	0	0	0	0	0	0	0	0	1147732554	
4.22744	25	0	0	12090	0	0	1	0	0	61142	51	0	0.683378	0.608283	0	0	0	0	0	0	0	0	0	0	0	0	1778338741	
0.374414	25	0	0	12051	0	0	1	0	0	60652	1	1	0.568644	0.568644	0	0	0	0	0	0	0	0	0	0	0	0	1778338741	
4.63227	26	0	0	12750	0	0	1	0	0	67984	51	0	0.817489	0.649221	0	0	0	0	0	0	0	0	0	0	0	0	1431199262	
4.74827	26	0	0	12713	0	0	1	0	0	67284	49	2	0.601802	0.578606	0	0	0	0	0	0	0	0	0	0	0	0	1431199262	
4.12884	27	0	0	12970	0	0	1	0	0	68820	50	1	0.637968	0.595723	0	0	0	0	0	0	0	0	0	0	0	0	651405152	
4.14702	27	0	0	12930	0	0	1	0	0	68540	49	2	0.577706	0.568828	0	0	0	0	0	0	0	0	0	0	0	0	651405152	
4.19947	28	0	0	13067	0	0	1	0	0	69798	51	0	0.657529	0.604732	0	0	0	0	0	0	0	0	0	0	0	0	1647351560	
4.19395	28	0	0	13021	0	0	1	0	0	69390	49	2	0.571465	0.561234	0	0	0	0	0	0	0	0	0	0	0	0	1647351560	
4.21725	29	0	0	13188	0	0	1	0	0	70444	51	0	0.682732	0.591394	0	0	0	0	0	0	0	0	0	0	0	0	433755102	
4.32428	29	0	0	13149	0	0	1	0	0	70090	49	2	0.561168	0.552832	0	0	0	0	0	0	0	0	0	0	0	0	433755102	
0.380653	30	0	0	13166	0	0	1	0	0	70218	1	1	0.560269	0.560269	0	0	0	0	0	0	0	0	0	0	0	0	1789068863	
4.19492	31	0	0	13317	0	0	1	0	0	70850	51	0	0.939317	0.709204	0	0	0	0	0	0	0	0	0	0	0	0	1761909473	
4.26729	31	0	0	13168	0	0	1	0	0	70168	48	3	0.549269	0.543871	0	0	0	0	0	0	0	0	0	0	0	0	1761909473	
